Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,84.510002,85.050003,83.559998,84.029999,20748800,84.029999
2016-09-15,84.669998,85.650002,84.519997,85.080002,9062600,85.080002
2016-09-14,85.040001,85.830002,84.269997,84.599998,13957000,84.599998
2016-09-13,86.459999,86.470001,85.080002,85.209999,13214300,85.209999
2016-09-12,86.779999,87.709999,86.629997,87.290001,10889000,87.290001
2016-09-09,88.660004,88.660004,86.800003,86.839996,12820200,86.839996
2016-09-08,88.550003,89.370003,88.040001,89.050003,9579500,89.050003
2016-09-07,88.650002,88.669998,87.970001,88.239998,7470400,88.239998
2016-09-06,87.839996,88.639999,87.660004,88.57,9851200,88.57
2016-09-02,87.419998,87.580002,86.93,87.419998,7099600,87.419998
2016-09-01,86.720001,86.839996,86.089996,86.839996,8434700,86.839996
2016-08-31,87.139999,87.209999,86.220001,87.139999,12491400,87.139999
2016-08-30,87.870003,88.25,87.370003,87.519997,6441100,87.519997
2016-08-29,87.040001,87.919998,87.040001,87.839996,7027200,87.839996
2016-08-26,87.629997,88.110001,87.00,87.269997,6474400,87.269997
2016-08-25,88.019997,88.029999,87.239998,87.459999,6935300,87.459999
2016-08-24,87.50,88.160004,87.349998,88.019997,7985400,88.019997
2016-08-23,87.839996,88.019997,87.559998,87.720001,6514800,87.720001
2016-08-22,87.309998,88.099998,86.849998,87.989998,8235400,87.989998
2016-08-19,88.629997,88.739998,87.790001,87.800003,8615300,87.800003
2016-08-18,88.379997,88.940002,88.120003,88.910004,10342700,88.910004
2016-08-17,87.919998,88.18,87.660004,88.110001,7104600,88.110001
2016-08-16,87.830002,88.18,87.370003,87.919998,6817900,87.919998
2016-08-15,88.419998,88.50,87.639999,87.809998,6432600,87.809998
2016-08-12,86.959999,87.980003,86.900002,87.849998,9986900,87.849998
2016-08-11,86.690002,87.269997,86.260002,86.720001,11616000,86.720001
2016-08-10,87.779999,87.919998,86.010002,86.410004,12714800,86.410004
2016-08-09,88.620003,88.760002,88.18,88.699997,9654600,87.949998
2016-08-08,88.050003,88.889999,88.029999,88.589996,10492700,87.840928
2016-08-05,87.730003,87.830002,87.150002,87.559998,9617300,86.819638
2016-08-04,87.50,87.650002,87.029999,87.480003,13451400,86.74032
2016-08-03,87.010002,87.489998,86.599998,87.489998,14632900,86.75023
2016-08-02,86.449997,87.32,85.580002,87.040001,18919200,86.304038
2016-08-01,88.080002,88.150002,85.589996,85.860001,22908400,85.134015
2016-07-29,87.610001,89.010002,86.120003,88.949997,23928100,88.197884
2016-07-28,90.540001,90.730003,89.610001,90.199997,12439200,89.437315
2016-07-27,91.510002,91.809998,90.629997,90.910004,10037900,90.141318
2016-07-26,91.629997,92.029999,91.110001,91.529999,12143500,90.756071
2016-07-25,93.470001,93.620003,91.760002,92.199997,10845900,91.420404
2016-07-22,94.110001,94.290001,93.720001,94.010002,7139700,93.215105
2016-07-21,93.889999,94.260002,93.459999,93.849998,6854600,93.056454
2016-07-20,94.25,94.419998,93.800003,93.93,7383800,93.135779
2016-07-19,94.760002,94.940002,94.199997,94.470001,5901800,93.671214
2016-07-18,94.919998,95.150002,94.400002,94.82,9865900,94.018253
2016-07-15,95.440002,95.550003,94.639999,95.120003,10334500,94.31572
2016-07-14,95.050003,95.529999,94.620003,94.949997,9293500,94.147151
2016-07-13,94.650002,94.919998,94.110001,94.879997,9458200,94.077744
2016-07-12,94.669998,94.949997,94.089996,94.949997,9870800,94.147151
2016-07-11,93.75,94.410004,93.650002,93.889999,8335700,93.096117
2016-07-08,93.389999,93.779999,92.919998,93.540001,9807600,92.749078
2016-07-07,94.339996,94.489998,92.349998,92.959999,12240700,92.17398
2016-07-06,93.349998,94.120003,92.440002,94.089996,13144400,93.294423
2016-07-05,93.120003,93.599998,92.25,93.019997,10744100,92.23347
2016-07-01,93.360001,93.980003,93.07,93.839996,9946300,93.046536
2016-06-30,92.330002,93.830002,92.300003,93.739998,14073700,92.947384
2016-06-29,91.410004,92.699997,91.120003,92.459999,13920600,91.678208
2016-06-28,89.730003,90.93,89.519997,90.910004,13254300,90.141318
2016-06-27,88.900002,89.099998,88.110001,88.860001,14169400,88.108649
2016-06-24,89.879997,90.800003,89.150002,89.389999,20010500,88.634166
